Name	locus_tag
BSU28710	cstA
BSU28720	abfA
BSU28730	araQ
BSU28740	araP
BSU28750	araN
BSU28760	araM
BSU28770	araL
BSU28780	araD
BSU28790	araB
BSU28800	araA
BSU28810	abnA
BSU28900	ysbB
BSU28910	ysbA
BSU29020	gapB
BSU29100	phoR
BSU29230	dnaE
BSU29410	ytkL
BSU29440	argH
BSU29450	argG
BSU29540	ppnK
BSU29690	acuA
BSU29700	acuB
BSU29710	acuC
BSU29880	malS
BSU29980	ytjP
BSU30090	yteU
BSU30100	yteT
BSU30120	yteR
BSU30150	ytdP
BSU30160	ytcQ
BSU30170	ytcP
BSU30260	msmR
BSU30270	msmE
BSU30290	amyC
BSU30300	melA
BSU30370	bceB
BSU30380	bceA
BSU30390	bceS
BSU30400	bceR
BSU30480	ytqA
BSU30560	pckA
BSU30710	ythA
BSU30940	glgP
BSU31040	yuaD
BSU31050	gbsB
BSU31080	yuaB
BSU31180	yulE
BSU31190	yulD
BSU31200	yulC
BSU31210	yulB
BSU31220	yuxG
BSU31310	yugP
BSU31330	yugN
BSU31400	alaT
BSU31840	yueD
BSU31850	yueC
BSU31860	yueB
BSU31875	yukB
BSU31910	yukE
BSU32050	yuiE
BSU32100	yumB
BSU32110	yumC
BSU32140	paiB
BSU32150	paiA
BSU32200	yutJ
BSU32210	yuzD
BSU32350	yunB
BSU32360	yunC
BSU32370	yunD
BSU32380	yunE
BSU32410	pucH
BSU32460	pucM
BSU32470	pucE
BSU32480	pucD
BSU32490	pucC
BSU32500	pucB
BSU32520	pucG
BSU32530	yurH
BSU32540	bsn
BSU32550	yurJ
BSU32630	yurR
BSU32820	fadE
BSU32830	yusK
BSU32840	fadN
BSU32890	yusQ
BSU32900	yusR
BSU32910	yusS
BSU32920	yusT
BSU32930	yusU
BSU32940	yusV
BSU32990	mrgA
BSU33000	htrB
BSU33020	cssS
BSU33150	yvqK
BSU33160	yvrA
BSU33200	yvrE
BSU33290	fhuC
BSU33310	fhuB
BSU33380	yvgL
BSU33390	yvgM
BSU33420	nhaK
BSU33430	yvgQ
BSU33440	cysJ
BSU33450	helD
BSU33460	yvgT
BSU33500	copA
BSU33510	copZ
BSU33540	yvaB
BSU33550	yvaC
BSU33560	yvaD
BSU33570	yvaE
BSU33890	yvbK
BSU33960	araE
BSU33980	yvbT
BSU34000	cyeB
BSU34120	ganB
BSU34130	ganA
BSU34140	ganQ
BSU34150	ganP
BSU34160	cycB
BSU34230	epsN
BSU34240	epsM
BSU34250	epsL
BSU34265	epsK
BSU34280	epsJ
BSU34290	epsI
BSU34300	epsH
BSU34310	epsG
BSU34320	epsF
BSU34330	epsE
BSU34340	epsD
BSU34350	epsC
BSU34360	epsB
BSU34370	epsA
BSU34380	slrR
BSU34390	pnbA
BSU34490	yvdS
BSU34500	yvdR
BSU34550	pgcM
BSU34560	malL
BSU34570	yvdK
BSU34580	yvdJ
BSU34590	mdxG
BSU34600	mdxF
BSU34610	mdxE
BSU34620	mdxD
BSU34650	yvdC
BSU34660	yvdB
BSU34680	yvcT
BSU34690	yvcS
BSU34700	yvcR
BSU34710	yvcQ
BSU34720	yvcP
BSU34750	whiA
BSU34760	yvcK
BSU34770	yvcJ
BSU34780	yvcI
BSU34790	trxB
BSU34820	bmrA
BSU34830	yvzA
BSU34840	yvcB
BSU34850	yvcA
BSU34940	yvpB
BSU34950	pelC
BSU35010	nagA
BSU35020	nagBA
BSU35030	yvoA
BSU35040	yvnB
BSU35060	cypX
BSU35070	yvmC
BSU35090	yvmA
BSU35150	yvzB
BSU35160	uvrA
BSU35190	yvkC
BSU35210	yvkA
BSU35280	yvjA
BSU35580	tuaD
BSU35590	tuaC
BSU35600	tuaB
BSU35660	mnaA
BSU35790	yvyI
BSU35820	gerBC
BSU35830	ywtG
BSU35850	ywtE
BSU35880	pgsA
BSU35900	pgsB
BSU35910	rbsR
BSU35920	rbsK
BSU35930	rbsD
BSU35940	rbsA
BSU35950	rbsC
BSU35960	rbsB
BSU35970	ywsB
BSU35980	ywsA
BSU35990	ywrO
BSU36000	alsD
BSU36010	alsS
BSU36100	ywrD
BSU36140	ywqO
BSU36150	ywqN
BSU36170	ywqL
BSU36190	ywqJ
BSU36200	ywqI
BSU36210	ywqH
BSU36220	ywqG
BSU36230	ywqF
BSU36240	ywqE
BSU36250	ptkA
BSU36270	ywqB
BSU36290	ywpJ
BSU36300	glcR
BSU36310	ssbB
BSU36450	ywoG
BSU36460	ywoF
BSU36510	amtB
BSU36520	glnK
BSU36700	moaA
BSU36950	ywlC
BSU37170	acdA
BSU37180	fadF
BSU37220	ywjB
BSU37230	ywjA
BSU37240	ywiE
BSU37250	narI
BSU37260	narJ
BSU37270	narH
BSU37280	narG
BSU37320	narK
BSU37570	mmr
BSU37580	ywgB
BSU37690	ywfG
BSU37750	ywfA
BSU37770	rocB
BSU37780	rocA
BSU37790	rocG
BSU37800	yweA
BSU37920	ywdL
BSU37930	ywdK
BSU37940	ywdJ
BSU37970	ung
BSU37980	ywdF
BSU37990	ywdE
BSU38020	thiD
BSU38030	ywdA
BSU38040	sacA
BSU38050	sacP
BSU38090	vpr
BSU38100	ywcH
BSU38190	galT
BSU38200	galK
